iter	Passed	Remaining
399	32838	49257
400	32908	49157
401	32995	49082
402	33080	49004
403	33149	48903
404	33215	48797
405	33286	48700
406	33367	48617
407	33439	48520
408	33505	48414
409	33573	48313
410	33651	48225
411	33726	48134
412	33809	48053
413	33886	47965
414	33961	47872
415	34036	47781
416	34100	47675
417	34166	47571
418	34240	47479
419	34323	47398
420	34406	47319
421	34474	47218
422	34539	47113
423	34621	47033
424	34690	46934
425	34759	46835
426	34841	46754
427	34921	46670
428	34988	46570
429	35061	46476
430	35139	46390
431	35214	46301
432	35292	46214
433	35364	46120
434	35447	46041
435	35523	45952
436	35595	45859
437	35663	45759
438	35739	45671
439	35820	45589
440	35897	45502
441	35966	45405
442	36029	45301
443	36109	45217
444	36195	45143
445	36283	45070
446	36368	44993
447	36451	44913
448	36534	44833
449	36614	44750
450	36709	44686
451	36795	44609
452	36871	44522
453	36943	44429
454	37031	44356
455	37120	44283
456	37207	44208
457	37297	44138
458	37384	44062
459	37454	43968
460	37539	43891
461	37629	43820
462	37727	43757
463	37810	43677
464	37899	43605
465	37990	43534
466	38081	43462
467	38162	43380
468	38251	43308
469	38337	43232
470	38417	43148
471	38505	43073
472	38581	42986
473	38666	42908
474	38755	42835
475	38856	42774
476	38948	42704
477	39049	42643
478	39149	42581
479	39252	42523
480	39329	42436
481	39404	42347
482	39493	42274
483	39590	42208
484	39671	42125
485	39750	42041
486	39826	41952
487	39925	41889
488	40035	41836
489	40130	41768
490	40222	41697
491	40322	41634
492	40430	41578
493	40529	41513
494	40622	41443
495	40716	41373
496	40808	41300
497	40887	41216
498	40961	41125
499	41034	41034
500	41109	40945
501	41178	40850
502	41273	40781
503	41362	40706
504	41437	40616
505	41512	40528
506	41587	40438
507	41665	40352
508	41750	40273
509	41841	40200
510	41937	40131
511	42016	40046
512	42098	39964
513	42188	39890
514	42289	39825
515	42377	39749
516	42469	39676
517	42555	39597
518	42630	39509
519	42709	39424
520	42805	39354
521	42897	39281
522	42972	39192
523	43069	39124
524	43161	39051
525	43236	38961
526	43320	38881
527	43418	38813
528	43537	38763
529	43644	38703
530	43731	38625
531	43815	38544
532	43942	38501
533	44044	38435
534	44145	38369
535	44235	38293
536	44339	38229
537	44433	38156
538	44525	38081
539	44606	37997
540	44694	37920
541	44769	37830
542	44846	37744
543	44932	37664
544	45024	37589
545	45114	37512
546	45192	37426
547	45269	37339
548	45345	37251
549	45423	37165
550	45517	37091
551	45602	37010
552	45675	36920
553	45746	36828
554	45827	36744
555	45909	36661
556	45993	36580
557	46080	36501
558	46166	36421
559	46240	36332
560	46325	36251
561	46425	36182
562	46505	36097
563	46579	36007
564	46660	35924
565	46749	35846
566	46841	35771
567	46929	35693
568	47023	35619
569	47107	35536
570	47179	35446
571	47262	35364
572	47358	35291
573	47448	35214
574	47526	35128
575	47604	35041
576	47685	34958
577	47765	34873
578	47830	34778
579	47903	34688
580	47979	34601
581	48059	34516
582	48134	34428
583	48212	34343
584	48281	34251
585	48357	34164
586	48433	34076
587	48505	33986
588	48581	33899
589	48650	33808
590	48725	33720
591	48803	33634
592	48883	33550
593	48950	33458
594	49015	33363
595	49079	33268
596	49149	33178
597	49229	33094
598	49309	33009
599	49374	32916
600	49439	32822
601	49508	32731
602	49574	32638
603	49650	32552
604	49723	32464
605	49806	32382
606	49902	32309
607	49994	32233
608	50086	32157
609	50163	32071
610	50236	31983
611	50303	31891
612	50386	31809
613	50469	31728
614	50556	31649
615	50641	31568
616	50713	31480
617	50795	31397
618	50865	31308
619	50935	31218
620	51024	31140
621	51117	31065
622	51191	30978
623	51260	30887
624	51330	30798
625	51400	30709
626	51477	30623
627	51561	30542
628	51648	30463
629	51726	30379
630	51810	30297
631	51886	30212
632	51955	30122
633	52026	30034
634	52110	29953
635	52202	29876
636	52271	29787
637	52340	29697
638	52412	29610
639	52501	29532
640	52582	29449
641	52660	29365
642	52746	29285
643	52821	29199
644	52899	29115
645	52989	29037
646	53068	28954
647	53155	28874
648	53242	28795
649	53324	28712
650	53394	28624
651	53475	28542
652	53563	28463
653	53637	28376
654	53715	28293
655	53797	28211
656	53877	28127
657	53952	28042
658	54031	27958
659	54119	27879
660	54201	27797
661	54282	27715
662	54353	27627
663	54435	27545
664	54550	27480
665	54628	27396
666	54699	27308
667	54783	27227
668	54868	27147
669	54952	27066
670	55045	26989
671	55127	26907
672	55198	26819
673	55285	26740
674	55363	26656
675	55432	26568
676	55521	26489
677	55607	26409
678	55680	26323
679	55773	26246
680	55861	26167
681	55932	26079
682	56017	25999
683	56102	25918
684	56175	25832
685	56250	25747
686	56336	25667
687	56428	25589
688	56504	25505
689	56577	25418
690	56665	25339
691	56762	25264
692	56842	25181
693	56925	25099
694	57017	25021
695	57105	24942
696	57185	24859
697	57272	24779
698	57348	24695
699	57435	24615
700	57534	24540
701	57616	24458
702	57711	24381
703	57794	24299
704	57873	24216
705	57962	24137
706	58055	24059
707	58128	23973
708	58218	23895
709	58313	23818
710	58384	23731
711	58453	23643
712	58534	23561
713	58625	23482
714	58717	23405
715	58812	23327
716	58897	23246
717	58980	23164
718	59068	23085
719	59158	23006
720	59244	22925
721	59333	22845
722	59413	22762
723	59486	22677
724	59570	22595
725	59667	22519
726	59755	22439
727	59839	22357
728	59918	22274
729	59989	22187
730	60062	22102
731	60143	22019
732	60233	21940
733	60320	21860
734	60398	21776
735	60481	21694
736	60566	21613
737	60642	21528
738	60715	21443
739	60807	21364
740	60896	21285
741	60968	21199
742	61041	21113
743	61109	21026
744	61190	20944
745	61272	20862
746	61349	20778
747	61422	20693
748	61507	20612
749	61597	20532
750	61677	20449
751	61745	20362
752	61816	20277
753	61889	20192
754	61958	20105
755	62043	20024
756	62132	19944
757	62218	19863
758	62292	19779
759	62368	19695
760	62457	19615
761	62541	19533
762	62631	19454
763	62714	19372
764	62793	19289
765	62876	19207
766	62965	19127
767	63054	19047
768	63144	18967
769	63224	18885
770	63306	18803
771	63400	18724
772	63478	18641
773	63556	18557
774	63636	18475
775	63729	18396
776	63819	18316
777	63895	18232
778	63971	18148
779	64056	18067
780	64146	17987
781	64226	17904
782	64308	17822
783	64391	17740
784	64464	17655
785	64530	17569
786	64605	17485
787	64688	17403
788	64779	17323
789	64865	17242
790	64937	17158
791	65005	17072
792	65080	16988
793	65167	16907
794	65261	16828
795	65338	16744
796	65407	16659
797	65480	16575
798	65562	16493
799	65654	16413
800	65745	16333
801	65833	16253
802	65906	16168
803	65974	16083
804	66048	15999
805	66127	15916
806	66208	15834
807	66294	15753
808	66383	15672
809	66455	15588
810	66532	15505
811	66618	15424
812	66702	15342
813	66772	15257
814	66841	15172
815	66914	15088
816	67002	15008
817	67096	14928
818	67183	14847
819	67265	14765
820	67338	14681
821	67423	14600
822	67512	14519
823	67593	14437
824	67678	14355
825	67766	14275
826	67858	14195
827	67936	14112
828	68013	14029
829	68086	13945
830	68174	13864
831	68263	13784
832	68343	13701
833	68433	13620
834	68540	13543
835	68631	13463
836	68709	13380
837	68787	13297
838	68873	13216
839	68955	13134
840	69039	13052
841	69117	12969
842	69186	12885
843	69260	12801
844	69326	12716
845	69404	12633
846	69499	12554
847	69585	12472
848	69662	12389
849	69731	12305
850	69805	12222
851	69873	12137
852	69956	12055
853	70043	11974
854	70119	11891
855	70213	11811
856	70296	11729
857	70369	11646
858	70452	11564
859	70534	11482
860	70607	11398
861	70688	11316
862	70783	11236
863	70873	11156
864	70949	11073
865	71026	10990
866	71117	10909
867	71194	10826
868	71267	10743
869	71350	10661
870	71438	10580
871	71520	10498
872	71613	10418
873	71706	10337
874	71792	10256
875	71871	10173
876	71953	10091
877	72043	10010
878	72118	9927
879	72198	9845
880	72291	9764
881	72378	9683
882	72465	9601
883	72555	9520
884	72639	9439
885	72710	9355
886	72798	9274
887	72893	9193
888	72965	9110
889	73045	9028
890	73144	8948
891	73238	8867
892	73322	8785
893	73409	8703
894	73486	8621
895	73569	8539
896	73667	8459
897	73751	8377
898	73821	8293
899	73886	8209
900	73972	8127
901	74068	8047
902	74139	7964
903	74210	7880
904	74294	7798
905	74378	7716
906	74465	7635
907	74543	7552
908	74621	7470
909	74696	7387
910	74780	7305
911	74861	7223
912	74946	7141
913	75026	7059
914	75102	6976
915	75187	6894
916	75273	6813
917	75348	6730
918	75425	6647
919	75509	6566
920	75591	6483
921	75679	6402
922	75752	6319
923	75823	6236
924	75905	6154
925	75987	6072
926	76076	5990
927	76163	5909
928	76236	5826
929	76311	5743
930	76390	5661
931	76463	5578
932	76554	5497
933	76643	5415
934	76715	5333
935	76789	5250
936	76864	5168
937	76933	5085
938	77005	5002
939	77101	4921
940	77186	4839
941	77260	4757
942	77343	4675
943	77428	4593
944	77496	4510
945	77582	4428
946	77686	4347
947	77767	4265
948	77838	4183
949	77928	4101
950	78022	4020
951	78092	3937
952	78193	3856
953	78285	3774
954	78364	3692
955	78449	3610
956	78534	3528
957	78620	3446
958	78707	3364
959	78791	3282
960	78871	3200
961	78947	3118
962	79026	3036
963	79119	2954
964	79209	2872
965	79282	2790
966	79359	2708
967	79444	2626
968	79524	2544
969	79605	2462
970	79684	2379
971	79766	2297
972	79850	2215
973	79935	2133
974	80025	2051
975	80112	1969
976	80201	1888
977	80292	1806
978	80365	1723
979	80433	1641
980	80508	1559
981	80588	1477
982	80682	1395
983	80771	1313
984	80844	1231
985	80916	1148
986	80990	1066
987	81055	984
988	81132	902
989	81221	820
990	81311	738
991	81388	656
992	81462	574
993	81533	492
994	81617	410
995	81703	328
996	81777	246
997	81865	164
998	81947	82
999	82023	0
