iter	Logloss
0	0.6736777637
1	0.6552690967
2	0.6386498291
3	0.6225908691
4	0.6072455078
5	0.5940517383
6	0.5811364648
7	0.5690757031
8	0.5578195215
9	0.5478641846
10	0.5383631396
11	0.5293240283
12	0.5210953125
13	0.5132095654
14	0.5060246729
15	0.4994144092
16	0.4929259521
17	0.4869705518
18	0.4810447266
19	0.47594979
20	0.470943916
21	0.4663551025
22	0.4623572461
23	0.4583220068
24	0.4543737158
25	0.4506613721
26	0.4473548535
27	0.4444475293
28	0.4416168848
29	0.4387944189
30	0.4359910645
31	0.4336603271
32	0.4313762256
33	0.4292441211
34	0.4270305371
35	0.4250073193
36	0.4232076855
37	0.4214315479
38	0.4197761133
39	0.4181988623
40	0.4165976611
41	0.415144502
42	0.4137563232
43	0.4124735693
44	0.4112581348
45	0.4100400244
46	0.4089521045
47	0.4078193018
48	0.4066453369
49	0.4055019385
50	0.4044193018
51	0.4035019336
52	0.4026887695
53	0.4017327783
54	0.4009722021
55	0.4001407813
56	0.3994651514
57	0.3986411816
58	0.3977249072
59	0.3970639258
60	0.3964332422
61	0.3957476172
62	0.3950802051
63	0.3944738672
64	0.3937822949
65	0.3932896045
66	0.3926660059
67	0.3920859473
68	0.3914583594
69	0.3908251953
70	0.3902979053
71	0.3898244043
72	0.3893698975
73	0.3887953467
74	0.3883802246
75	0.3878509473
76	0.3874362207
77	0.3870245703
78	0.3864665039
79	0.3860880518
80	0.3856686133
81	0.3852195996
82	0.3848001953
83	0.3844390234
84	0.383970376
85	0.3836644482
86	0.3832183496
87	0.3828780273
88	0.3824844531
89	0.3821462256
90	0.3818490283
91	0.381525415
92	0.3811823437
93	0.3808319922
94	0.3804471484
95	0.3801562695
96	0.3797788232
97	0.3794365186
98	0.3791978955
99	0.3789312695
100	0.3786587939
101	0.3784186133
102	0.3781459912
103	0.3779194531
104	0.3775982373
105	0.3773672266
106	0.3770980811
107	0.3768749316
108	0.3766739111
109	0.3764732275
110	0.3762680859
111	0.3760607764
112	0.3757233643
113	0.375483335
114	0.3752720508
115	0.375014585
116	0.3748203564
117	0.37459979
118	0.3743195752
119	0.3740141895
120	0.3737939893
121	0.3735498291
122	0.3732511865
123	0.373096792
124	0.3728786426
125	0.37266625
126	0.3724973828
127	0.372306167
128	0.3721241748
129	0.3719575586
130	0.371795
131	0.3716286816
132	0.3714850928
133	0.3713149463
134	0.3711104053
135	0.3709411279
136	0.370669165
137	0.3704820898
138	0.3703247266
139	0.3701097461
140	0.3699412207
141	0.3697399414
142	0.3696335645
143	0.3694755176
144	0.3693181201
145	0.3691852295
146	0.3690445703
147	0.3688919434
148	0.3687446338
149	0.3685473145
150	0.3683906348
151	0.3682598193
152	0.368060708
153	0.3678765234
154	0.3677495117
155	0.3675887402
156	0.3674689404
157	0.3673772314
158	0.3672171533
159	0.3670713281
160	0.3669270605
161	0.3668189551
162	0.3666611035
163	0.3664791016
164	0.366320498
165	0.3661636523
166	0.3660290137
167	0.3659226465
168	0.3657810303
169	0.36567646
170	0.3655051563
171	0.3654027832
172	0.3652436572
173	0.3651117529
174	0.3649860938
175	0.3648766309
176	0.364777793
177	0.364694165
178	0.3646013184
179	0.3644852148
180	0.3643220264
181	0.3642008154
182	0.3640523975
183	0.3639536768
184	0.3638593311
185	0.3637842529
186	0.3636734229
187	0.3635220752
188	0.3634201123
189	0.3633349268
190	0.3631921191
191	0.3630776025
192	0.362933916
193	0.3628391211
194	0.3627459473
195	0.3626601025
196	0.3625716113
197	0.3624725195
198	0.3623756982
199	0.3622555908
200	0.3621736865
201	0.3620864648
202	0.3619939111
203	0.3618877783
204	0.3618111719
205	0.3616948193
206	0.3616120215
207	0.3615151904
208	0.3613934082
209	0.3613268018
210	0.3612510986
211	0.3611389941
212	0.3610616455
213	0.3609337256
214	0.3608344092
215	0.3607513477
216	0.3606565576
217	0.3605577783
218	0.3604715674
219	0.3603775537
220	0.3602981006
221	0.3602294092
222	0.3601497021
223	0.3600594971
224	0.3599810156
225	0.3598918896
226	0.3598325488
227	0.359733833
228	0.3596481348
229	0.3595719873
230	0.3594620801
231	0.3593735791
232	0.3593096094
233	0.3592340869
234	0.359170459
235	0.3591089258
236	0.3590277734
237	0.3589236279
238	0.3588326611
239	0.3587642529
240	0.358668374
241	0.3585665039
242	0.3584880518
243	0.3584238379
244	0.3582875391
245	0.3581886377
246	0.3581161963
247	0.3580477441
248	0.3579693359
249	0.3578666455
250	0.3577728271
251	0.3577122314
252	0.357644707
253	0.3575739795
254	0.3574983594
255	0.357405293
256	0.3573330615
257	0.3572512061
258	0.3571957031
259	0.3570923877
260	0.3570203613
261	0.3569586182
262	0.3568790967
263	0.3567979541
264	0.356732124
265	0.3566755225
266	0.3565830811
267	0.3565185303
268	0.3564340576
269	0.356369043
270	0.3562973047
271	0.3562206543
272	0.3561446533
273	0.3560693701
274	0.3560039697
275	0.3559417822
276	0.3558360596
277	0.3557620996
278	0.3557114697
279	0.3556657422
280	0.3556089893
281	0.3555661914
282	0.3554896387
283	0.355411167
284	0.3553572803
285	0.3552933008
286	0.3552371875
287	0.3551954004
288	0.3551394385
289	0.355071167
290	0.3550057324
291	0.3549274902
292	0.3548559717
293	0.3547708691
294	0.3547007617
295	0.354611709
296	0.3545447998
297	0.3544903271
298	0.3544429785
299	0.354384043
300	0.354314585
301	0.354261792
302	0.3542041357
303	0.35414375
304	0.3540779883
305	0.3540056104
306	0.3539737207
307	0.3539049658
308	0.3538464893
309	0.3537604541
310	0.353702915
311	0.3536199121
312	0.3535480273
313	0.3534897021
314	0.3534099023
315	0.3533329492
316	0.3532668213
317	0.3531977637
318	0.3531555518
319	0.353094917
320	0.3530289209
321	0.3529589307
322	0.3528719531
323	0.3527753467
324	0.3526937158
325	0.3526201758
326	0.3525727295
327	0.3525271729
328	0.3524758643
329	0.3524097168
330	0.3523433447
331	0.3522972363
332	0.3522590381
333	0.3522091846
334	0.3521600146
335	0.3520993848
336	0.3520455273
337	0.3519846729
338	0.3519394727
339	0.3518862549
340	0.3518232324
341	0.3517203467
342	0.3516608887
343	0.351571626
344	0.3515112549
345	0.3514621631
346	0.3513974121
347	0.3513374756
348	0.3512958105
349	0.351239917
350	0.3511868701
351	0.3511321777
352	0.3510580518
353	0.351019873
354	0.3509761865
355	0.3509151025
356	0.3508709277
357	0.3507876758
358	0.350735083
359	0.3506612549
360	0.3506207129
361	0.3505768799
362	0.3505268408
363	0.3504714795
364	0.3504106006
365	0.350338418
366	0.3502763477
367	0.3502217822
368	0.350168877
369	0.350124292
370	0.3500647852
371	0.3499988965
372	0.3499355225
373	0.3498704932
374	0.3497919727
375	0.3497417236
376	0.34968354
377	0.3496421729
378	0.3495874072
379	0.3495222168
380	0.3494598926
381	0.3494210303
382	0.3493703418
383	0.3493069238
384	0.3492620361
385	0.3492161377
386	0.3491609619
387	0.3491065137
388	0.3490570654
389	0.3490035352
390	0.3489574219
391	0.3489094434
392	0.348869248
393	0.3488123145
